Species,Medium,Temperature_C,Light_umol_m2_s,Nitrate_mg_L,Phosphate_mg_L,CO2_pct,pH,Biomass_g_L,Lipid_pct,Biofuel_mL_per_g,Energy_Output_MJ_per_kg,Source,Data_Type
Scenedesmus obliquus,ORP Wastewater,30.7,347,1960.1,176.9,0.04,6.7,0.09,16.8,0.1623,20.88,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,31.8,1379,726.3,163.0,15.0,8.6,0.5,19.8,0.1913,21.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,17.4,362,1434.9,94.4,0.04,7.8,0.07,21.1,0.2038,21.74,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,9.6,743,157.2,18.9,1.0,7.2,0.05,19.0,0.1835,21.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,12.6,876,173.6,187.3,8.0,9.4,0.05,21.3,0.2057,21.78,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,22.6,223,1128.5,176.6,8.0,6.9,0.27,17.3,0.1671,20.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,23.6,1351,223.0,125.3,2.0,6.2,5.84,16.9,0.1632,20.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,19.7,650,3115.3,103.8,5.0,10.0,0.05,41.6,0.4018,25.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,27.2,80,1151.8,94.5,5.0,7.0,0.15,19.4,0.1874,21.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,15.8,109,832.6,26.5,10.0,7.8,0.15,17.5,0.169,21.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,26.3,37,549.9,94.7,10.0,9.1,0.05,47.8,0.4617,27.11,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,31.5,958,1892.3,52.2,0.04,7.7,0.16,18.5,0.1787,21.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,16.0,80,501.1,13.6,15.0,6.2,0.08,46.6,0.4501,26.87,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,15.0,514,186.0,85.9,13.95,7.4,0.56,23.6,0.228,22.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,26.3,649,3824.8,90.6,0.04,9.0,0.11,7.5,0.0724,19.01,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,26.6,755,1866.2,42.4,8.0,6.5,0.73,15.3,0.1478,20.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,18.6,299,40.2,91.7,9.53,6.3,0.05,27.7,0.2676,23.07,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Wastewater,31.5,118,975.9,99.2,0.04,7.0,0.06,19.8,0.1913,21.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,19.1,415,20.8,181.7,8.0,6.3,0.05,32.1,0.3101,23.95,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11 N-stress,25.0,200,41.0,35.0,5.0,7.0,0.92,58.3,0.5631,29.22,PMC10804497 biofuel review 2024,Real (measured)
Chlorella vulgaris,TAP,23.1,512,469.0,74.8,10.0,6.5,1.01,18.3,0.1768,21.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,19.3,733,1465.1,52.3,0.04,5.3,0.05,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Sewage Wastewater,25.0,557,1251.4,108.4,5.0,5.0,0.12,13.1,0.1265,20.13,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,28.4,52,422.4,79.3,0.04,10.5,0.05,8.6,0.0831,19.23,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,17.1,1198,1240.1,34.2,11.6,5.9,0.05,18.7,0.1806,21.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,25.0,100,247.0,25.0,0.04,7.5,0.65,20.6,0.199,21.64,Frontiers Enrg Res 2022 10.3389/fenrg.2022.912904,Real (measured)
Scenedesmus sp.,BG-11,32.1,699,122.1,87.0,3.0,7.0,0.48,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,15.2,265,504.6,54.0,3.0,10.0,0.05,16.7,0.1613,20.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,10.5,445,781.7,82.3,1.0,7.9,0.24,29.6,0.2859,23.45,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,ORP Wastewater,10.6,832,808.7,167.2,8.0,5.9,0.12,15.9,0.1536,20.7,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,30.0,208,111.4,188.2,3.0,7.2,0.36,19.9,0.1922,21.5,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,14.7,1112,1164.2,70.7,1.0,4.7,0.05,16.8,0.1623,20.88,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,37.9,500,1707.4,61.2,2.0,6.0,0.34,19.7,0.1903,21.46,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,25.7,754,550.0,12.0,5.0,6.0,0.3,19.1,0.1845,21.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,27.9,650,447.8,91.3,6.96,9.1,0.2,20.7,0.1999,21.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,38.4,976,1309.9,32.4,0.04,8.3,0.12,23.8,0.2299,22.28,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,27.1,559,1044.3,86.9,5.0,9.1,0.18,20.2,0.1951,21.56,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,12.2,639,394.5,179.5,0.43,6.1,0.08,47.3,0.4569,27.01,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,17.2,1125,485.7,26.3,15.0,5.5,0.18,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,12.3,403,739.3,126.0,0.04,5.3,0.05,13.6,0.1314,20.23,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,11.1,257,1397.8,45.9,0.04,4.6,0.05,43.5,0.4202,26.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,20.1,342,2577.1,170.5,15.0,8.6,0.19,42.9,0.4144,26.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,27.6,149,192.9,152.5,15.0,5.8,0.1,25.8,0.2492,22.69,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,20.1,463,187.4,20.1,8.0,6.5,0.2,23.3,0.2251,22.18,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,17.3,101,1606.3,192.9,5.0,5.9,0.18,44.7,0.4318,26.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,28.3,91,552.3,9.7,3.0,9.9,0.05,21.6,0.2086,21.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,16.2,309,1394.4,12.6,0.04,6.6,0.05,43.0,0.4153,26.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,BG-11,9.1,1339,1974.4,10.9,15.0,4.9,0.05,26.9,0.2598,22.91,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,19.5,229,1393.3,117.7,1.0,5.6,0.12,16.5,0.1594,20.82,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,21.2,244,1615.1,3.4,1.0,6.4,0.05,43.0,0.4153,26.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,10.3,830,610.5,129.8,0.04,8.8,0.05,31.1,0.3004,23.75,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,15.9,668,1879.4,132.9,0.04,7.3,0.06,18.0,0.1739,21.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,23.4,850,612.7,170.1,0.04,6.1,0.05,17.7,0.171,21.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,32.1,477,580.2,137.1,8.0,5.6,0.33,20.5,0.198,21.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,27.9,937,1281.7,52.9,0.04,7.4,0.15,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,24.8,127,88.9,82.1,15.0,9.0,0.11,28.7,0.2772,23.27,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,30.3,763,77.7,112.1,0.04,7.9,0.05,23.5,0.227,22.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,23.0,914,1386.2,135.2,0.04,8.8,0.05,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,24.0,461,1557.8,84.2,0.04,5.5,0.05,42.8,0.4134,26.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,ORP Wastewater,24.6,268,1110.8,125.1,0.04,5.7,0.05,14.0,0.1352,20.31,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,28.3,627,1306.9,26.6,1.0,9.1,0.05,12.8,0.1236,20.07,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11 N-stress,8.1,457,613.4,37.7,0.04,5.6,0.05,46.5,0.4491,26.85,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,10.5,870,1541.3,20.5,10.0,4.9,0.05,14.5,0.1401,20.41,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,16.1,344,146.5,28.2,3.0,7.4,0.27,31.5,0.3043,23.83,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,16.2,586,1009.4,153.8,2.0,7.6,0.5,29.4,0.284,23.41,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,25.1,1662,1514.2,95.4,0.04,6.7,0.06,25.0,0.2415,22.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,17.8,654,1045.3,93.5,15.0,6.0,0.14,26.3,0.254,22.79,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,32.5,405,1383.2,52.4,0.04,7.3,0.15,22.3,0.2154,21.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,21.3,451,1844.3,102.5,2.0,5.9,0.35,16.6,0.1603,20.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Synthetic Medium,15.2,235,1918.3,189.0,0.04,8.0,0.05,21.7,0.2096,21.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,21.0,246,1659.6,91.9,0.04,7.7,0.05,7.4,0.0715,18.99,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,8.4,463,1686.1,66.1,0.04,7.3,0.05,20.6,0.199,21.64,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,9.8,838,787.5,181.6,10.0,7.6,0.05,16.7,0.1613,20.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,29.4,314,826.9,94.1,10.0,9.1,0.05,21.6,0.2086,21.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,31.9,678,687.9,76.0,15.0,4.9,0.84,17.2,0.1661,20.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11 N-stress,18.3,375,657.7,193.9,15.0,5.3,0.18,46.5,0.4491,26.85,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,26.8,377,1991.4,60.4,0.04,8.6,0.05,25.1,0.2424,22.55,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,27.5,212,1366.7,129.3,1.0,7.5,0.37,44.5,0.4298,26.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11,25.0,120,247.0,37.0,0.04,7.0,1.45,38.5,0.3719,25.24,Frontiers Enrg Res 2022 10.3389/fenrg.2022.912904,Real (measured)
Nannochloropsis sp.,Walne Medium,27.7,779,57.1,105.1,3.0,5.8,0.1,29.0,0.2801,23.33,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,11.5,747,89.5,177.1,2.0,5.1,0.05,23.7,0.2289,22.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,27.1,605,2417.1,167.8,3.0,9.3,0.12,42.2,0.4076,25.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,25.0,150,247.0,35.0,3.0,7.0,1.3,16.8,0.1623,20.88,PMC10478748 Bioeng review 2023,Real (measured)
Ankistrodesmus falcatus,BG-11 N-stress,22.6,366,308.8,32.3,0.04,7.9,0.05,50.8,0.4907,27.71,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,37.6,1387,287.5,90.8,0.04,5.0,0.05,22.4,0.2164,22.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,10.6,55,989.0,18.0,10.87,9.7,0.05,23.1,0.2231,22.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,19.4,667,1996.5,177.6,2.0,6.1,0.06,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,16.5,1194,495.6,123.2,1.0,7.3,4.78,16.3,0.1574,20.78,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,25.0,200,247.0,35.0,5.0,7.0,1.85,45.0,0.4347,26.55,PMC10804497 biofuel review 2024,Real (measured)
Neochloris oleoabundans,BG-11,11.3,151,291.0,162.4,0.04,6.4,0.05,48.1,0.4646,27.17,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,36.3,835,1232.7,67.8,2.0,8.7,0.44,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Synthetic Medium,10.0,183,479.2,4.8,1.46,7.3,0.05,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,34.4,665,462.3,66.6,15.0,8.7,0.62,7.6,0.0734,19.03,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,21.8,62,864.6,79.3,0.04,7.9,0.05,46.8,0.452,26.91,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,26.2,418,1708.0,80.6,0.04,8.3,0.07,27.1,0.2618,22.95,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,17.1,1034,1825.6,44.0,8.0,8.2,0.18,17.6,0.17,21.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,30.5,1036,1330.4,88.6,8.0,9.5,0.05,28.6,0.2762,23.25,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Sewage Wastewater,13.1,274,1888.6,102.0,3.55,6.2,0.33,11.8,0.114,19.87,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,26.8,638,1829.2,126.1,6.43,7.9,0.82,23.4,0.226,22.2,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,23.5,309,1421.9,170.6,10.0,7.2,0.74,18.8,0.1816,21.28,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,30.0,300,200.0,35.0,6.0,7.2,2.05,24.2,0.2337,22.36,Eze 2026 DIB 10.1016/j.dib.2026.111915,Real (measured)
Chromochloris zofingiensis,BG-11,12.0,337,109.3,149.0,5.0,8.4,0.07,52.9,0.511,28.13,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,26.4,336,690.9,53.8,0.04,9.1,0.05,46.1,0.4453,26.77,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,25.0,730,300.0,40.0,8.0,7.0,28.0,15.0,0.1449,20.52,Sung 2018 PMC6193934 10.1371/journal.pone.0203980,Real (measured)
Monoraphidium braunii,Wastewater,13.7,208,148.3,45.6,0.04,10.0,0.05,26.4,0.255,22.81,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Sewage Wastewater,8.7,198,930.1,8.1,8.0,7.9,0.06,14.3,0.1381,20.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,18.8,30,1373.5,92.1,0.04,6.4,0.05,18.9,0.1826,21.3,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-replete,25.0,200,200.0,25.0,5.0,7.5,0.52,22.1,0.2135,21.94,Maltsev 2023 MCF 10.1186/s12934-023-02244-6,Real (measured)
Chlorella sorokiniana,BG-11,30.0,200,670.0,80.0,15.0,7.1,2.1,21.0,0.2028,21.72,Montoya-Vallejo 2023 10.3389/fbioe.2023.1149762,Real (measured)
Chlorella pyrenoidosa,Modified BG-11,30.8,394,1780.6,119.6,0.04,5.2,0.05,17.0,0.1642,20.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,26.4,1121,1609.7,94.5,0.04,4.7,0.05,18.7,0.1806,21.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,35.0,400,300.0,45.0,5.0,7.0,2.1,21.4,0.2067,21.8,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Chlorococcum sp.,BG-11 N-stress,23.9,374,808.7,48.5,0.04,8.1,0.05,22.6,0.2183,22.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,33.5,912,307.8,87.6,0.04,9.8,0.05,22.5,0.2173,22.02,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,16.6,244,287.2,153.2,1.0,9.8,0.05,16.7,0.1613,20.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,12.1,1342,995.1,184.0,2.0,4.8,0.05,26.8,0.2589,22.89,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,16.5,132,880.4,62.0,2.0,6.2,0.12,15.3,0.1478,20.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,10.3,213,1682.2,80.5,2.0,6.2,0.11,17.9,0.1729,21.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,9.6,1217,1265.1,152.0,15.0,7.4,0.05,25.7,0.2482,22.67,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,14.0,41,1727.6,88.1,3.0,6.5,0.05,22.3,0.2154,21.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,29.0,174,159.7,101.6,15.0,9.0,0.07,20.8,0.2009,21.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,13.2,45,115.5,36.6,0.84,7.6,0.05,23.9,0.2309,22.3,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,25.0,1500,300.0,55.0,5.0,7.0,0.45,19.5,0.1884,21.42,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Spirulina platensis,Zarrouk's Medium,23.3,504,3284.0,91.4,0.04,10.1,0.05,7.8,0.0753,19.07,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,34.6,632,635.3,154.9,9.94,6.5,1.23,21.0,0.2028,21.72,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,13.4,276,1778.1,158.9,2.0,5.9,0.16,19.8,0.1913,21.48,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,8.4,342,826.1,141.6,0.04,6.6,0.05,43.9,0.424,26.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,25.0,120,150.0,30.0,0.04,6.8,0.8,11.5,0.1111,19.81,Baweja 2025 RSOS 10.1098/rsos.241336,Real (measured)
Chlorella vulgaris,BG-11,25.0,245,247.0,35.0,10.0,7.0,0.78,19.5,0.1884,21.42,PMC10674991 Light/CO2 2023,Real (measured)
Chlorella vulgaris,Wastewater,11.0,26,108.1,122.0,10.0,5.8,0.05,21.5,0.2077,21.82,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,30.0,200,200.0,25.0,5.0,7.5,0.55,23.1,0.2231,22.14,Khatoon 2020 JOUC 10.1007/s11802-020-4302-y,Real (measured)
Dunaliella salina,Modified f/2,17.0,726,870.6,99.3,5.0,9.8,0.05,16.7,0.1613,20.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,14.2,1726,421.9,41.2,2.0,7.4,0.1,27.9,0.2695,23.11,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,35.4,766,572.7,179.6,5.0,9.1,0.11,19.6,0.1893,21.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,36.0,162,1792.8,21.9,2.0,8.7,0.05,19.0,0.1835,21.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,25.0,100,247.0,35.0,0.04,7.4,0.88,16.5,0.1594,20.82,PMC10017629 wastewater coupling 2023,Real (measured)
Scenedesmus quadricauda,Bold's Basal,27.3,852,947.6,102.9,4.71,8.6,0.41,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Bold's Basal Medium,20.8,390,509.8,155.6,5.0,9.2,0.22,14.9,0.1439,20.49,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,22.2,117,314.4,68.8,0.04,9.3,0.05,23.7,0.2289,22.26,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,31.0,234,710.7,54.9,0.04,8.6,0.05,9.3,0.0898,19.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,11.1,932,1013.9,164.3,8.0,8.1,0.05,17.9,0.1729,21.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11 N-stress,11.7,180,798.9,50.7,5.0,8.7,0.05,23.5,0.227,22.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,15.1,792,72.4,149.9,12.57,5.8,0.05,34.1,0.3294,24.35,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,24.9,1190,13.0,5.3,5.0,5.1,0.05,29.2,0.282,23.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,34.1,916,1881.5,31.4,8.0,7.0,1.42,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,23.3,344,1243.7,83.9,1.0,6.7,0.51,44.9,0.4337,26.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Sewage Wastewater,19.1,101,198.0,48.1,1.0,5.6,0.06,15.5,0.1497,20.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,21.6,246,355.8,13.3,0.04,8.3,0.05,9.0,0.0869,19.31,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorococcum sp.,BG-11,25.0,120,247.0,35.0,0.04,7.0,0.88,22.4,0.2164,22.0,Sci Rep 2024 10.1038/s41598-024-58864-4,Real (measured)
Monoraphidium braunii,Synthetic Medium,15.5,282,1092.0,132.8,3.0,9.3,0.05,24.7,0.2386,22.46,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,29.9,1200,1949.3,84.5,8.08,5.0,0.05,28.6,0.2762,23.25,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,30.0,300,247.0,35.0,0.04,7.2,1.87,22.5,0.2173,22.02,Converti 2009 CEP 10.1016/j.cep.2009.03.006,Real (measured)
Ettlia sp. YC001,BG-11,22.2,625,1622.7,69.4,8.0,5.3,2.35,13.9,0.1343,20.29,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,30.4,505,929.9,194.9,5.0,8.7,0.13,47.0,0.454,26.95,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,25.0,200,150.0,20.0,0.04,7.4,0.5,15.5,0.1497,20.62,Frontiers Enrg Res 2022 10.3389/fenrg.2022.912904,Real (measured)
Chlorella pyrenoidosa,Modified BG-11,25.3,501,192.7,178.2,0.04,5.2,0.05,20.2,0.1951,21.56,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,BG-11,30.0,200,247.0,35.0,5.0,7.0,1.6,19.2,0.1855,21.36,PMC10478748 Bioeng review 2023,Real (measured)
Chaetoceros muelleri,f/2 Medium,10.0,617,4621.8,164.7,8.0,8.3,0.05,38.0,0.367,25.14,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,13.8,413,367.1,106.9,0.04,5.5,0.05,20.9,0.2019,21.7,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,14.3,552,644.3,58.1,10.0,5.4,0.05,17.9,0.1729,21.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,32.4,95,232.5,186.1,14.21,6.3,0.15,18.9,0.1826,21.3,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,26.0,200,288.0,25.0,0.04,7.8,1.02,18.4,0.1777,21.2,Maltsev 2023 MCF 10.1186/s12934-023-02244-6,Real (measured)
Scenedesmus quadricauda,BG-11,14.4,626,1853.7,53.1,8.0,5.7,0.11,19.1,0.1845,21.34,Physics-constrained model (calibrated to species optima from literature),Modelled
